Product Code,Description,Manufacturer_SKU,Unit Qty,Weight per piece,product_line,category,color
FTEVRAFTA45,Fortress Evolution Arched Rafter Tail 45 Degree,288021601,10,5.4684,Evolution,Evolution,
FTEVSC75250B,Fortress Evolution Self Tapping Screw (250pcs) Black,183990341,20,2.205,Evolution,Evolution,
FTEVSTBRKT7,"7"" Fortress Evolution Stair BRKT",189107161,10,2.8665,Evolution,Evolution,
FTEVSTBRKT775,"7-3/4"" Fortress Evolution Stair BRKT",189134161,10,3.087,Evolution,Evolution,
FTEVSTBRKTA,Fortress Evolution Stair Anchor BRKT,189100161,30,0.882,Evolution,Evolution,
FTEVSTBRKTADJ,Fortress Evolution ADJ Stair BRKT,189199141,10,4.29975,Evolution,Evolution,
FTEVSTRP12,Fortress Evolution Strap 12OC,187104201,12,2.75625,Evolution,Evolution,
FTEVSTRP16,Fortress Evolution Strap 16OC,187204201,12,2.75625,Evolution,Evolution,
FTEVSTRP8,"8"" Fortress Evolution Strap",183078161,100,0.206388,Evolution,Evolution,
FTEVSTSTRP,Fortress Evolution Stair Strap,189223181,24,1.21275,Evolution,Evolution,
FTEVSTTR,"48"" Fortress Evolution Stair Tray",189348161,4,9.72405,Evolution,Evolution,
FTEVSTTRADJ,"48"" Fortress Evolution ADJ Stair Tray",189448161,4,15.9201,Evolution,Evolution,
FTFE26 VSCRS408BS,"40""x8' Fortress V-Series CR-Vertical Stair Black Sand",57240808,30,57.33,FE26,Infill,BKSND
FTFE26ATRC8ABZ,8' Fortress FE26 ATR Colonial Round Antique Bronze,53405086,50,7.497,FE26,Railing,ABZ
FTFE26ATRC8BS,8' Fortress FE26 ATR Colonial Round Black Sand,53405088,50,7.497,FE26,Railing,BKSND
FTFE26ATRC8GB,8' Fortress FE26 ATR Colonial Round Gloss Black,53405080,50,5.94,FE26,Railing,GBLK
FTFE26ATRF6BS,6' Fortress Fe26 ATR Flat Black Sand,57513608,1,3.94695,FE26,Fittings,BKSND
FTFE26ATRF8BS,8' Fortress Fe26 ATR Flat Black Sand,57513808,1,4.6305,FE26,Fittings,BKSND
FTFE26BSS14BS,"1.25"" Fortress Fe26 Stair Simplified BRKT (4pcs) Black Sand",53505068,12,3.59415,FE26,Fittings,BKSND
FTFE26BSS4BS,"1"" Fortress Fe26 Stair Simplified BRKT (4pcs) Black Sand",53504068,12,3.0429,FE26,Fittings,BKSND
FTFE26BU14BS,"1.25"" Fortress Fe26 Univ. BRKT (4pcs) Black Sand",53505008,25,1.38915,FE26,Fittings,BKSND
FTFE26BU4ABZ,"1"" Fortress Fe26 Univ. BRKT (4pcs) Antique Bronze",53504006,25,1.12455,FE26,Fittings,ABZ
FTFE26BU4BS,"1"" Fortress Fe26 Univ. BRKT (4pcs) Black Sand",53504008,25,1.12455,FE26,Fittings,BKSND
FTFE26BU4GB,"1"" Fortress FE26 Univ. BRKT (4pcs) Gloss Black",650036,25,1.12455,FE26,Fittings,GBLK
FTFE26BUAA14BS,"1.25"" Fortress Fe26 Univ. Angle Adapator BRKT (4pcs) Black Sand",53505018,25,0.99225,FE26,Fittings,BKSND
FTFE26BUAA4ABZ,"1"" Fortress Fe26 Univ. Angle Adapator BRKT (4pcs) Antique Bronze",53504016,25,0.68355,FE26,Fittings,ABZ
FTFE26BUAA4BS,"1"" Fortress Fe26 Univ. Angle Adapator BRKT (4pcs) Black Sand",53504018,25,0.694575,FE26,Fittings,BKSND
FTFE26BUAA4GB,"1"" Fortress FE26 Univ. Angle Adapator BRKT (4pcs) Gloss Black",650039,25,0.68355,FE26,Fittings,GBLK
FTFE26CB14AABZ,"1"" Fortress Fe26 Collar ADJ BRKT (4pcs) Antique Bronze",53504036A,16,1.43325,FE26,Fittings,ABZ
FTFE26CB14ABZ,"1"" Fortress Fe26 Collar BRKT (4pcs) Antique Bronze",53504026A,22,0.85995,FE26,Fittings,ABZ
FTFE26CB14AGB,"1"" Fortress Fe26 Collar ADJ BRKT (4pcs) Gloss Black",650038A,16,1.43325,FE26,Fittings,GBLK
